타임스탬프,이메일 주소,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
1/11/2000 12:00,f0votqtxhi@snu.ac.kr,유담가,2000-11234,1학년,15동 404호(칸막이),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,nd6r30ojhe@snu.ac.kr,민이다,2000-11341,2학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,cyjhu8myik@snu.ac.kr,곽윤이,2000-11359,2학년,법오 큰방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,gv3z6bz8uu@snu.ac.kr,함서겨,2000-11300,2학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,z7x4iky3uf@snu.ac.kr,심하예,2000-11564,3학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,xbz9svn7n1@snu.ac.kr,천빈온,2000-11193,1학년,15동 404호(칸막이),법오 큰방(평상),15동 401호(평상)
1/11/2000 12:00,v2heifjfc2@snu.ac.kr,남일은,2000-11156,1학년,15동 404호(칸막이),15동 403호(칸막이),국산(칸막이)
1/11/2000 12:00,h8lx6dut07@snu.ac.kr,여가예,2000-11229,1학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,lcqnt3bnvb@snu.ac.kr,노복동,2000-11243,1학년,법오 큰방(평상),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,e9oe9419qz@snu.ac.kr,송준윤,2000-11238,1학년,법오 작은방(평상),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,334l1vznqd@snu.ac.kr,위안준,2000-11340,2학년,15동 404호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,k5ogz2ueax@snu.ac.kr,추혜빈,2000-11372,2학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,w4a7fq9p96@snu.ac.kr,조우경,2000-11276,2학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,1p0vuh17j8@snu.ac.kr,채담은,2000-11408,2학년,법오 작은방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,lofas1ekty@snu.ac.kr,남율영,2000-11393,2학년,15동 401호(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,5hcbbmhnqo@snu.ac.kr,최겨샘,2000-11317,2학년,국산(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,gb7r3ocwbf@snu.ac.kr,추서안,2000-11153,1학년,15동 403호(평상),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,q6ww8yl68n@snu.ac.kr,권윤하,2000-11352,2학년,15동 401호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,y2itl8n3e5@snu.ac.kr,정찬호,2000-11527,3학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,buov6tt9q1@snu.ac.kr,박온우,2000-11362,2학년,법오 큰방(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,j3l0xzamky@snu.ac.kr,송온빈,2000-11231,1학년,법오 큰방(칸막이),15동 404호(칸막이),15동 403호(평상)
1/11/2000 12:00,rc6zs62ywe@snu.ac.kr,여지숙,2000-11311,2학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,yymu5907if@snu.ac.kr,강준석,2000-11131,1학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,qfwwxr5rdn@snu.ac.kr,양용달,2000-11297,2학년,법오 작은방(평상),15동 404호(칸막이),15동 403호(칸막이)
1/11/2000 12:00,uplvqexuyh@snu.ac.kr,남수자,2000-11421,2학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,7g0iiji44m@snu.ac.kr,우봄지,2000-11381,2학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,azrp9dxoq2@snu.ac.kr,이예윤,2000-11453,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,sojuv0gyub@snu.ac.kr,유결찬,2000-11241,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,98brzva9wd@snu.ac.kr,유광혜,2000-11581,졸업생,법오 큰방(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,uyo57p6bkl@snu.ac.kr,윤주아,2000-11182,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,k43safyh1f@snu.ac.kr,편한하,2000-11346,2학년,법오 큰방(칸막이),법오 작은방(평상),국산(칸막이)
1/11/2000 12:00,pw232utvg9@snu.ac.kr,방시우,2000-11272,2학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,r0i2fkxwex@snu.ac.kr,유율안,2000-11498,3학년,법오 큰방(칸막이),법오 작은방(평상),국산(칸막이)
1/11/2000 12:00,jvdpngwds9@snu.ac.kr,연윤람,2000-11544,3학년,15동 404호(칸막이),15동 401호(평상),15동 401호(칸막이)
1/11/2000 12:00,xufctzg4fb@snu.ac.kr,송지한,2000-11422,2학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,rmjkv5usgi@snu.ac.kr,도현봄,2000-11149,1학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,7azv2efuu8@snu.ac.kr,구다현,2000-11313,2학년,법오 큰방(칸막이),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,jwjj0v60xn@snu.ac.kr,석솔달,2000-11458,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,4izasnwywr@snu.ac.kr,김은온,2000-11248,1학년,15동 401호(평상),법오 골방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,ai9hasez2n@snu.ac.kr,손새진,2000-11329,2학년,15동 404호(칸막이),15동 401호(칸막이),법오 작은방(평상)
1/11/2000 12:00,zy7ez9gtwz@snu.ac.kr,배석아,2000-11345,2학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,gaz5uh80q7@snu.ac.kr,위윤이,2000-11520,3학년,15동 401호(칸막이),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,pengwyx9tr@snu.ac.kr,류마윤,2000-11268,2학년,법오 큰방(칸막이),15동 401호(평상),15동 404호(칸막이)
1/11/2000 12:00,t18s1saxt8@snu.ac.kr,한샘서,2000-11571,3학년,법오 큰방(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,i8qoagsusm@snu.ac.kr,방하용,2000-11378,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,yyv37dia5u@snu.ac.kr,황태규,2000-11173,1학년,국산(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,795e5iz31y@snu.ac.kr,서담은,2000-11273,2학년,15동 401호(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,7wwbslulzf@snu.ac.kr,남준채,2000-11412,2학년,15동 404호(칸막이),국산(칸막이),15동 403호(칸막이)
1/11/2000 12:00,g8pwy55p1v@snu.ac.kr,배동정,2000-11425,3학년,15동 404호(칸막이),15동 401호(평상),법오 큰방(칸막이)
1/11/2000 12:00,sqt26q3xlr@snu.ac.kr,오아지,2000-11192,1학년,법오 큰방(칸막이),법오 큰방(평상),법오 작은방(평상)
1/11/2000 12:00,sdnai89y1f@snu.ac.kr,민담유,2000-11363,2학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,jcns6g298c@snu.ac.kr,노수연,2000-11288,2학년,법오 작은방(평상),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,zwd0w9ry79@snu.ac.kr,제사석,2000-11434,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,0mftg698s4@snu.ac.kr,마현롬,2000-11247,1학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,645vdb8281@snu.ac.kr,강수종,2000-11556,3학년,국산(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,aoaxqox00k@snu.ac.kr,신호하,2000-11548,3학년,15동 404호(칸막이),15동 401호(평상),법오 작은방(평상)
1/11/2000 12:00,5jxurgowyo@snu.ac.kr,신늘하,2000-11314,2학년,법오 작은방(평상),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,n8lpy857nz@snu.ac.kr,윤윤하,2000-11526,3학년,15동 404호(칸막이),법오 골방(칸막이),국산(칸막이)
1/11/2000 12:00,b3d5050ui2@snu.ac.kr,민동세,2000-11347,2학년,15동 404호(칸막이),법오 큰방(칸막이),15동 403호(평상)
1/11/2000 12:00,8tb38wxgc7@snu.ac.kr,노늘예,2000-11576,졸업생,법오 큰방(칸막이),15동 401호(평상),15동 404호(칸막이)
1/11/2000 12:00,pnsm43d8w3@snu.ac.kr,강하하,2000-11147,1학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,gzvrctlt4q@snu.ac.kr,손온영,2000-11470,3학년,국산(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,kl1cq99chj@snu.ac.kr,안윤윤,2000-11127,1학년,국산(칸막이),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,lem1qq4d3k@snu.ac.kr,고재빈,2000-11293,2학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,raffz8q4vh@snu.ac.kr,유유한,2000-11550,3학년,15동 403호(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,0km3tzk3ny@snu.ac.kr,홍서아,2000-11222,1학년,국산(칸막이),15동 401호(평상),15동 404호(칸막이)
1/11/2000 12:00,ianouof0on@snu.ac.kr,설채지,2000-11394,2학년,법오 큰방(칸막이),15동 403호(칸막이),법오 작은방(평상)
1/11/2000 12:00,xo100vhmyg@snu.ac.kr,우경복,2000-11462,3학년,15동 401호(칸막이),15동 404호(칸막이),15동 403호(칸막이)
1/11/2000 12:00,t04chsding@snu.ac.kr,윤아종,2000-11406,2학년,15동 404호(칸막이),법오 작은방(평상),국산(칸막이)
1/11/2000 12:00,ouhylu6k7p@snu.ac.kr,연하채,2000-11450,3학년,국산(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,iviss8jltc@snu.ac.kr,황호풀,2000-11574,졸업생,법오 큰방(평상),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,x8fk2076vm@snu.ac.kr,함진소,2000-11543,3학년,법오 큰방(칸막이),15동 401호(칸막이),법오 작은방(평상)
1/11/2000 12:00,7qy8yb7w8p@snu.ac.kr,설윤유,2000-11461,3학년,국산(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,ztp7bd4w1a@snu.ac.kr,류수롬,2000-11474,3학년,15동 401호(평상),법오 골방(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,g5vmf60ykn@snu.ac.kr,마지민,2000-11318,2학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,hza7x73qxm@snu.ac.kr,하성준,2000-11405,2학년,15동 404호(칸막이),국산(칸막이),15동 401호(평상)
1/11/2000 12:00,yv3lxchfu1@snu.ac.kr,장윤태,2000-11449,3학년,15동 404호(칸막이),15동 401호(칸막이),15동 401호(평상)
1/11/2000 12:00,88qeoz0kz4@snu.ac.kr,노용연,2000-11344,2학년,15동 404호(칸막이),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,vm4w3zkwde@snu.ac.kr,함시서,2000-11267,2학년,법오 큰방(칸막이),15동 401호(평상),법오 작은방(평상)
1/11/2000 12:00,p8637zgf9q@snu.ac.kr,민소아,2000-11218,1학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,1tbrwr965r@snu.ac.kr,도아서,2000-11382,2학년,국산(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,kblcmpioyg@snu.ac.kr,길새윤,2000-11167,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,jicjdan085@snu.ac.kr,원민지,2000-11305,2학년,15동 401호(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,egbl2qgv3d@snu.ac.kr,강옥예,2000-11472,3학년,15동 401호(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,imvihcwi64@snu.ac.kr,연주순,2000-11121,1학년,법오 큰방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,eaea84hxxp@snu.ac.kr,석안율,2000-11549,3학년,15동 404호(칸막이),15동 401호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,dn5gjj8mgp@snu.ac.kr,백미하,2000-11384,2학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,zezqacj4t0@snu.ac.kr,정유하,2000-11201,1학년,15동 401호(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,05uirodxmo@snu.ac.kr,허세별,2000-11122,1학년,15동 404호(칸막이),법오 큰방(평상),15동 401호(평상)
1/11/2000 12:00,ov51zlbori@snu.ac.kr,고지아,2000-11439,3학년,15동 401호(평상),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,ixwc4rtwuz@snu.ac.kr,유희성,2000-11202,1학년,법오 큰방(칸막이),법오 골방(칸막이),15동 403호(평상)
1/11/2000 12:00,eouuylajah@snu.ac.kr,연재태,2000-11236,1학년,법오 큰방(평상),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,1vgll42jzn@snu.ac.kr,손은봄,2000-11501,3학년,15동 401호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,e6wtlrj4bd@snu.ac.kr,문빈온,2000-11386,2학년,법오 큰방(칸막이),법오 작은방(평상),15동 401호(칸막이)
1/11/2000 12:00,qxlm5q201l@snu.ac.kr,채소미,2000-11245,1학년,법오 큰방(칸막이),15동 401호(평상),법오 큰방(평상)
1/11/2000 12:00,agvlkw1xsr@snu.ac.kr,장온결,2000-11512,3학년,15동 401호(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,57oonncild@snu.ac.kr,오광재,2000-11200,1학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,pusddtv25a@snu.ac.kr,안율빛,2000-11256,1학년,법오 작은방(평상),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,mlxzvo5270@snu.ac.kr,임아기,2000-11389,2학년,15동 401호(평상),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,2atn2twdl9@snu.ac.kr,배온숙,2000-11212,1학년,15동 404호(칸막이),법오 작은방(평상),15동 403호(평상)
1/11/2000 12:00,55hewlgje2@snu.ac.kr,유들이,2000-11399,2학년,법오 골방(칸막이),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,hxs75t0ic0@snu.ac.kr,강진주,2000-11471,3학년,15동 401호(평상),법오 골방(칸막이),국산(칸막이)
1/11/2000 12:00,c2ihoy7dv7@snu.ac.kr,송희윤,2000-11295,2학년,법오 큰방(평상),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,0b8y5dnwng@snu.ac.kr,한서윤,2000-11485,3학년,15동 403호(평상),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,rr5pcxa5s0@snu.ac.kr,최환별,2000-11336,2학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,gol0w82lk2@snu.ac.kr,배가도,2000-11259,1학년,법오 큰방(칸막이),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,muekipu1wy@snu.ac.kr,추명태,2000-11183,1학년,15동 403호(평상),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,qk94dnmkza@snu.ac.kr,선태임,2000-11169,1학년,15동 404호(칸막이),법오 큰방(칸막이),법오 골방(칸막이)
1/11/2000 12:00,03o4gkwwjw@snu.ac.kr,우소예,2000-11395,2학년,법오 큰방(칸막이),법오 골방(칸막이),법오 큰방(평상)
1/11/2000 12:00,o7uubcxulj@snu.ac.kr,장한숙,2000-11126,1학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,sym0jbwcv6@snu.ac.kr,이은경,2000-11463,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,wk0yehvdo9@snu.ac.kr,강하기,2000-11554,3학년,법오 큰방(칸막이),법오 작은방(평상),법오 큰방(평상)
1/11/2000 12:00,gc4ryg9rdp@snu.ac.kr,제채린,2000-11509,3학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,63lbqgu3ob@snu.ac.kr,길찬원,2000-11296,2학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,q4fmyzycwt@snu.ac.kr,서미달,2000-11114,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,z7bh25llo3@snu.ac.kr,양담정,2000-11205,1학년,15동 401호(평상),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,6a3kkrzd5e@snu.ac.kr,조람종,2000-11315,2학년,국산(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,b6txki3oqy@snu.ac.kr,편서우,2000-11216,1학년,법오 큰방(칸막이),15동 403호(칸막이),15동 404호(칸막이)
1/11/2000 12:00,xg8y72ivgl@snu.ac.kr,설우나,2000-11303,2학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,906gnhh4oi@snu.ac.kr,탁윤아,2000-11510,3학년,15동 401호(평상),15동 401호(칸막이),15동 404호(칸막이)
1/11/2000 12:00,g2y8rgybxk@snu.ac.kr,백용호,2000-11477,3학년,15동 401호(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,09dcnwmbxe@snu.ac.kr,주자안,2000-11563,3학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,ouhtcs1k9y@snu.ac.kr,탁준우,2000-11220,1학년,법오 큰방(칸막이),국산(칸막이),15동 401호(평상)
1/11/2000 12:00,q9c80ebkjf@snu.ac.kr,배샘린,2000-11349,2학년,15동 404호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,6iidlrye89@snu.ac.kr,노성윤,2000-11228,1학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,lg6mm1zxyv@snu.ac.kr,추사찬,2000-11225,1학년,법오 큰방(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,v3a3zmf8md@snu.ac.kr,편광민,2000-11112,1학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,jx8uibrsz1@snu.ac.kr,최지람,2000-11223,1학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,b1ijiys2n7@snu.ac.kr,류온준,2000-11364,2학년,국산(칸막이),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,253j2d54i3@snu.ac.kr,문윤은,2000-11132,1학년,법오 작은방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,1do6ouz1eg@snu.ac.kr,원정아,2000-11497,3학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,0z3nx39rbs@snu.ac.kr,제우연,2000-11164,1학년,15동 404호(칸막이),국산(칸막이),15동 401호(평상)
1/11/2000 12:00,dyk0x65muf@snu.ac.kr,원정서,2000-11194,1학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,hlv76mf4nn@snu.ac.kr,오루서,2000-11495,3학년,법오 큰방(칸막이),15동 401호(평상),국산(칸막이)
1/11/2000 12:00,5nkb4ehou6@snu.ac.kr,손라주,2000-11325,2학년,법오 작은방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,rrpzlk3e4x@snu.ac.kr,위동다,2000-11264,2학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,q3b9so0usw@snu.ac.kr,정다태,2000-11426,3학년,법오 큰방(평상),법오 작은방(평상),15동 401호(평상)
1/11/2000 12:00,62rzv1sqqq@snu.ac.kr,나예재,2000-11569,3학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,f1irym81cm@snu.ac.kr,여태지,2000-11400,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,xdqc2k9yki@snu.ac.kr,도사우,2000-11545,3학년,15동 401호(평상),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,vn8lfjdtvv@snu.ac.kr,서온희,2000-11280,2학년,15동 404호(칸막이),15동 401호(평상),국산(칸막이)
1/11/2000 12:00,tplc6prr7m@snu.ac.kr,마혜혁,2000-11552,3학년,15동 404호(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,7v1w4k2tcz@snu.ac.kr,전진래,2000-11350,2학년,15동 401호(칸막이),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,tz91x70fql@snu.ac.kr,선승동,2000-11354,2학년,법오 큰방(칸막이),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,p9gkdlkqzf@snu.ac.kr,한예아,2000-11207,1학년,법오 작은방(평상),15동 401호(평상),15동 404호(칸막이)
1/11/2000 12:00,dtoz5sthsl@snu.ac.kr,탁들안,2000-11562,3학년,법오 작은방(평상),15동 404호(칸막이),법오 골방(칸막이)
1/11/2000 12:00,7u6n7hv3iz@snu.ac.kr,신하수,2000-11146,1학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,f7i8skch8j@snu.ac.kr,전안새,2000-11214,1학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(평상)
1/11/2000 12:00,xqym52xg8p@snu.ac.kr,임찬연,2000-11213,1학년,국산(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,89yztkkfzz@snu.ac.kr,길율지,2000-11211,1학년,법오 큰방(칸막이),15동 401호(칸막이),법오 작은방(평상)
1/11/2000 12:00,a4abn7g8b2@snu.ac.kr,권선마,2000-11287,2학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,nbhnal3gyw@snu.ac.kr,탁린가,2000-11327,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,pob7fu9925@snu.ac.kr,진하새,2000-11560,3학년,국산(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,jvoegi3qup@snu.ac.kr,신윤기,2000-11522,3학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,g6v5t1dx6t@snu.ac.kr,전아도,2000-11370,2학년,법오 골방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,mf36bcpwei@snu.ac.kr,박준남,2000-11555,3학년,법오 큰방(칸막이),15동 401호(평상),15동 403호(칸막이)
1/11/2000 12:00,q14j1ripzi@snu.ac.kr,연슬람,2000-11140,1학년,법오 큰방(칸막이),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,mdf7fr91ip@snu.ac.kr,양랑준,2000-11459,3학년,15동 404호(칸막이),법오 큰방(칸막이),15동 403호(칸막이)
1/11/2000 12:00,x2toowt9nm@snu.ac.kr,신현수,2000-11447,3학년,15동 404호(칸막이),법오 작은방(평상),15동 403호(평상)
1/11/2000 12:00,4qdbxvh7ka@snu.ac.kr,최하서,2000-11494,3학년,15동 401호(칸막이),15동 401호(평상),15동 404호(칸막이)
1/11/2000 12:00,83xphx2kbv@snu.ac.kr,신지재,2000-11376,2학년,15동 401호(평상),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,41ibljh75l@snu.ac.kr,유환현,2000-11115,1학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,t199dxj37c@snu.ac.kr,구재하,2000-11299,2학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,a07h23c42y@snu.ac.kr,양지이,2000-11260,1학년,법오 큰방(칸막이),15동 401호(평상),법오 작은방(평상)
1/11/2000 12:00,jczucqmrun@snu.ac.kr,최윤린,2000-11286,2학년,법오 큰방(칸막이),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,sq7aitmofm@snu.ac.kr,오빛들,2000-11419,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,rhnuxorzpg@snu.ac.kr,조준지,2000-11269,2학년,15동 403호(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,tom5xlk8wr@snu.ac.kr,석슬수,2000-11351,2학년,15동 403호(평상),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,epkyrybova@snu.ac.kr,우철루,2000-11186,1학년,법오 큰방(칸막이),법오 작은방(평상),법오 큰방(평상)
1/11/2000 12:00,nz1udbfwyj@snu.ac.kr,위안슬,2000-11185,1학년,15동 404호(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,yr06nkwfg3@snu.ac.kr,신서현,2000-11388,2학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,s9kkh4a3yj@snu.ac.kr,신지하,2000-11409,2학년,15동 403호(평상),15동 401호(칸막이),국산(칸막이)
1/11/2000 12:00,a83ru7myow@snu.ac.kr,장세명,2000-11468,3학년,국산(칸막이),법오 큰방(평상),15동 401호(평상)
1/11/2000 12:00,z8obk3g84u@snu.ac.kr,채한원,2000-11294,2학년,15동 401호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,ufqymbnw8b@snu.ac.kr,박남기,2000-11500,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,vjtuw9ohtu@snu.ac.kr,전린예,2000-11373,2학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,xgmpw5d3go@snu.ac.kr,강지온,2000-11334,2학년,국산(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,qfj6ijkuuh@snu.ac.kr,전도영,2000-11410,2학년,법오 큰방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,yvgv0e7450@snu.ac.kr,손이예,2000-11582,졸업생,법오 큰방(칸막이),국산(칸막이),법오 골방(칸막이)
1/11/2000 12:00,zz0jdcli69@snu.ac.kr,석환훈,2000-11535,3학년,국산(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,yzcotohp6v@snu.ac.kr,전혜소,2000-11141,1학년,15동 404호(칸막이),국산(칸막이),법오 작은방(평상)
